Nombre del Sujeto Obligado:,Alcaldía Xochimilco
Formato:,Obra pública inv. restr
Periodo:,
ID,FECHA CREACION, FECHA MODIFICACION,"EJERCICIO","FECHA DE INICIO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","FECHA DE TÉRMINO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","TIPO DE OBRA","LUGAR DE LA OBRA","PLAZO EN EL QUE SE EJECUTARÁ LA OBRA:","NÚMERO DE CONTRATO","FECHA DEL CONTRATO","ORIGEN DE LOS RECURSOS PARA REALIZAR LA OBRA","MONTO ORIGINAL DE LA OBRA","MONTO FINAL DE LA OBRA","NÚMERO DE BENEFICIARIOS POR LA OBRA REALIZADA","IDENTIFICACIÓN DEL S.OBLIGADO ORDENADOR DE LA OBRA","IDENTIFICACIÓN DEL S.O. RESPONSABLE DE LA OBRA","NOMBRE DEL PROVEEDOR  CONTRATISTA O PERSONA FÍSICA","HIPERVÍNCULO A MECANISMOS DE VIGILANCIA Y SUPERVIS","HIPERVÍNCULO A LOS ESTUDIOS DE IMPACTO AMBIENTAL Y SÍSMICOS","ÁREA(S) RESPONSABLE(S) DE LA INFORMACIÓN","FECHA DE VALIDACIÓN","FECHA DE ACTUALIZACIÓN","NOTA"
35390412,"29/07/20","29/07/20","2020","01/04/2020","30/06/2020","OBRA PUBLICA",35390412,35390412,"XO-DGODU-L-OP-IR-013-20","06/05/2020","LOCAL","4306913.38","4996019.52","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","LTEZ, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/SUBCOMITEJUNIO","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","30/06/2020","30/06/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
38565240,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565240,38565240,"XO-DGODU-L-OP-LP-042-20","27/10/2020","LOCAL","20943799.94","24294807.93","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","FRANCISCO JORGE GENCHI","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
38565245,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565245,38565245,"XO-DGODU-L-OP-LP-047-20","28/10/2020","LOCAL","6893882.63","7996903.85","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","DISEÑOS Y CAMINOS MEXICANOS, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
38565236,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565236,38565236,"XO-DGODU-L-OP-LP-038-20","27/10/2020","LOCAL","12631001.06","14651961.23","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","LTEZ, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
38565237,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565237,38565237,"XO-DGODU-L-OP-LP-039-20","27/10/2020","LOCAL","3430102.29","3978918.66","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","MEGAOBRAS CONSTRUCCION Y SUPERVISION, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
29600358,"26/12/19","26/12/19","2019","01/07/2019","30/09/2019","OBRA",29600358,29600358,"XO-DGODU-L-OP-IR-024-19","26/08/2019","FISCAL","1241196.09","1439787.46","0","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO DE LA ALCALDÍA XOCHIMILCO","UNIDAD DEPARTAMENTAL DE MANTENIMIENTO A EDIFICIOS PÚBLICOS","DAMIRKO ARQUITECTOS, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/3er/Art_143/VIGILANCIA.pdf","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/3er/Art_143/impactoambiental.pdf","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","23/12/2019","23/12/2019","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
32803711,"05/05/20","05/05/20","2020","01/01/2020","31/03/2020","NO SE GENERO INFORMACION PARA ESTE TRIMESTRE",32803711,32803711,"0","31/03/2020","NO SE GENERO INFORMACION PARA ESTE TRIMESTRE","0","0","0","NO SE GENERO INFORMACION PARA ESTE TRIMESTRE","NO SE GENERO INFORMACION PARA ESTE TRIMESTRE","NO SE GENERO INFORMACION PARA ESTE TRIMESTRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/1er/Art_121/Frac_XLIII/NOINFO","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/1er/Art_121/Frac_XLIII/IMPACTOAMBIENTAL","DIRECCION GENERAL DE OBRAS Y DESARROLLO URBANO","31/03/2020","31/03/2020","NO SE GENERO INFORMACION PARA ESTE TRIMESTRE"
38565235,"12/01/21","12/01/21","2020","01/10/2020","31/12/2020","Obra pública",38565235,38565235,"XO-DGODU-L-OP-IR-035-20","28/10/2020","LOCAL","603448.26","699999.98","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE MANTENIMIENTO A EDIFICIOS PUBLICOS","MULTIDIVINORT EXPORTACIONES Y CONSTRUCCIONES, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/SUBCOMITEDICIEMBRE","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/4to/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","31/12/2020","31/12/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
29600353,"26/12/19","26/12/19","2019","01/04/2019","30/06/2019","PROYECTO",29600353,29600353,"XO-DGODU-L-OP-IR-014-19","03/06/2019","FISCAL","861966.68","999881.34","0","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO DE LA ALCALDÍA XOCHIMILCO","UNIDAD DEPARTAMENTAL DE PROYECTOS DE LA ALCALDÍA XOCHIMILCO","ESTUDIO DE ARQUITECTURA MIRSHA, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/2do/Art_143/NOINFO.pdf","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2019/2do/Art_143/NOINFO.pdf","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","04/12/2019","04/12/2019","NO SE GENERÓ INFORMACION PARA LA COLUMNA DE NOTA"
35390418,"29/07/20","29/07/20","2020","01/04/2020","30/06/2020","OBRA PUBLICA",35390418,35390418,"XO-DGODU-L-OP-IR-019-20","26/05/2020","LOCAL","3009180.13","3490648.95","NO SE GENERÓ INFORMACIÓN EN EL TRIMESTRE","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","J.U.D. DE AGUA POTABLE Y DRENAJE","NINAS CONSTRUCCIONES, S.A. DE C.V.","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/SUBCOMITEJUNIO","http://servicios.xochimilco.cdmx.gob.mx:8081/10/2020/2do/Art_143/IMPACTOAMBIENTAL","J.U.D. DE CONCURSOS, CONTRATOS Y ESTIMACIONES DE LA SUBDIRECCIÓN TÉCNICA DE LA D.G.O.D.U.","30/06/2020","30/06/2020","NO SE GENERO INFORMACION PARA LA COLUMNA DE NOTA"
