Nombre del Sujeto Obligado:,Mecanismo de Protección Integral de Personas Defensoras de Derechos Humanos y Periodistas de la Ciudad de México
Formato:,Estadísticas generadas
Periodo:,1er trimestre
ID,FECHA CREACION, FECHA MODIFICACION,"EJERCICIO","FECHA DE INICIO DEL PERIODO QUE SE INFORMA","FECHA DE TÉRMINO DEL PERIODO QUE SE INFORMA","TEMA DE LA ESTADÍSTICA","PERIODO DE ACTUALIZACIÓN DE DATOS","DENOMINACIÓN DEL PROYECTO","HIPERVÍNCULO AL DOCUMENTO EN EL CUAL SE DESCRIBAN LAS VARIABLES","HIPERVÍNCULO A LOS DOCUMENTOS TÉCNICOS  METODOLÓGICOS Y NORMATIVOS","TIPOS DE ARCHIVO DE LAS BASES DE DATOS","HIPERVÍNCULO A LAS BASES DE DATOS CORRESPONDIENTES AL PROYECTO QUE SE INFORMA","HIPERVÍNCULO A LAS SERIES O BANCOS DE DATOS EXISTENTES  RELACIONADOS CON EL TEMA DE LA ESTADÍSTICA","ÁREA(S) RESPONSABLE(S) QUE GENERA(N)  POSEE(N)  PUBLICA(N) Y ACTUALIZAN LA INFORMACIÓN","FECHA DE VALIDACIÓN","FECHA DE ACTUALIZACIÓN","NOTA"
40591295,"24/03/21","24/03/21","2021","01/01/2021","31/03/2021","No Aplica","00/00/0000","No Aplica","https://www.mpi.cdmx.gob.mx/informes","https://www.mpi.cdmx.gob.mx/informes","No aplica","https://www.mpi.cdmx.gob.mx/informes","https://www.mpi.cdmx.gob.mx/informes","Unidad de Transparencia","31/03/2021","31/03/2021","Durante este periodo no se presentaron estadísticas ante el INFO CDMX"
40590048,"24/03/21","24/03/21","2021","01/01/2021","31/03/2021","INFORMACIÓN SOBRE PERSONAS BENEFICIARIAS","MENSUAL","INFORMACIÓN  BIMESTRAL","https://transparencia.cdmx.gob.mx/storage/app/uploads/public/605/a3a/f6e/605a3af6e76c0867076978.pdf","https://transparencia.cdmx.gob.mx/storage/app/uploads/public/605/a3a/f6e/605a3af6e76c0867076978.pdf","https://transparencia.cdmx.gob.mx/storage/app/uploads/public/605/a3a/f6e/605a3af6e76c0867076978.pdf","https://transparencia.cdmx.gob.mx/storage/app/uploads/public/605/a3a/f6e/605a3af6e76c0867076978.pdf","https://transparencia.cdmx.gob.mx/storage/app/uploads/public/605/a3a/f6e/605a3af6e76c0867076978.pdf","Coordinación de Desarrollo y Evaluación de Medidas de Protección","31/03/2021","31/03/2021",""

